rtype,publisher_id,instrument_id,open,high,low,close,volume,symbol
33,1,42004177,24267.0,24267.0,24267.0,24267.0,1,NQU6
33,1,42004177,24270.25,24270.25,24270.25,24270.25,1,NQU6
33,1,42004177,24268.0,24268.0,24268.0,24268.0,1,NQU6
33,1,42004177,24254.25,24254.25,24254.25,24254.25,1,NQU6
33,1,42004177,24259.75,24259.75,24259.75,24259.75,1,NQU6
33,1,42004177,24274.0,24274.0,24274.0,24274.0,1,NQU6
33,1,42004177,24278.25,24278.25,24278.25,24278.25,1,NQU6
33,1,42004177,24303.0,24303.0,24303.0,24303.0,1,NQU6
33,1,42004177,24301.75,24316.25,24279.75,24292.25,16,NQU6
33,1,42004177,24285.0,24285.0,24285.0,24285.0,1,NQU6
33,1,42004177,24332.75,24335.0,24332.75,24335.0,2,NQU6
33,1,42004177,24338.0,24350.75,24338.0,24350.75,5,NQU6
33,1,42004177,24360.5,24370.0,24360.5,24368.0,3,NQU6
33,1,42004177,24364.5,24364.5,24356.5,24356.5,3,NQU6
33,1,42004177,24386.75,24386.75,24384.5,24384.5,2,NQU6
33,1,42004177,24380.75,24381.75,24380.75,24381.75,2,NQU6
33,1,42004177,24395.25,24395.25,24395.25,24395.25,1,NQU6
33,1,42004177,24379.75,24379.75,24377.5,24377.5,2,NQU6
33,1,42004177,24375.5,24385.5,24316.5,24316.5,11,NQU6
33,1,42004177,24322.25,24322.25,24295.25,24296.5,5,NQU6
33,1,42004177,24302.5,24311.0,24301.0,24307.5,10,NQU6
33,1,42004177,24316.5,24328.5,24304.0,24304.0,8,NQU6
33,1,42004177,24307.25,24312.25,24307.25,24309.75,4,NQU6
33,1,42004177,24301.75,24302.0,24276.5,24276.5,8,NQU6
33,1,42004177,24287.0,24293.25,24273.75,24293.25,4,NQU6
33,1,42004177,24282.25,24282.25,24281.5,24281.5,2,NQU6
33,1,42004177,24294.0,24307.75,24289.0,24307.75,5,NQU6
33,1,42004177,24329.75,24329.75,24324.0,24324.0,2,NQU6
33,1,42004177,24325.75,24330.25,24321.5,24330.25,3,NQU6
